Nome percorso;Identificativo;Tipo;Fondo;Lunghezza;Tipo percorso (comunale, provinciale, ecc.);Note
La Filandera;Percorso A - Lugagnano;Ciclopedonale;Asfalto;6 Km;Comunale;Pianeggiante
Cav. Romani;Percorso B - Sona;Ciclopedonale;Misto;8,7 Km;Comunale;Collinare
Santa Giustina;Percorso C - Palazzolo;Ciclopedonale;Misto;4,6 Km;Comunale;Collinare
Tenore Giuseppe;Percorso D - San Giorgio in Salici;Ciclopedonale;Misto;2,6 Km;Comunale;Pianeggiante
Marchetto della Pernisa;Percorso E - San Giorgio in Salici;Ciclopedonale;Misto;12,3 Km;Comunale;Collinare
Anello Terre del Custoza;Anello Terre del Custoza;Ciclabile;Asfalto;;Provinciale;Collinare
Bicitalia 12;Bicitalia 12;Ciclabile;Asfalto;;Regionale;Collinare
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
