Nome percorso;Identificativo;Tipo;Fondo;Lunghezza;Tipo percorso (comunale, provinciale, ecc.);Nome
percorso impianti sportivi Siena a Villafranca di Verona;inizia e termina in corrispondenza del parcheggio piscine ;Ciclopedonale;Misto;5 km di cui  circa 3 km in asfalto ed i restanti 2 km in terra;Comunale;non esiste una specifica cartellonistica
via Comotto tra Dossobuono ed Alpo;inizia da parco Frassini, percorre via Comotto e termina in corrispondenza abitato di Alpo;Ciclopedonale;Asfalto;1,320 km ;Comunale;non esiste una specifica cartellonistica
via Melotti Alpo;costeggia via Melotti all’interno dell’abitato di Alpo passa dalle scuole elementari e termina al cimitero della frazione;Ciclopedonale;Misto;0,860 km;Comunale;non esiste una specifica cartellonistica
via Maddalena Dossobuono;da zona artigianale a palazzetto sport ed ingresso Locchi;Ciclopedonale;Asfalto;1 km;Comunale;non esiste una specifica cartellonistica
via Chioda Dossobuono;da Rot Cavour a via Torre;Ciclopedonale;Asfalto;1 km;Comunale;non esiste una specifica cartellonistica
via del Capitello a Caluri;solo via del capitello;Ciclopedonale;Asfalto;0,5 km;Comunale;non esiste una specifica cartellonistica
via Bixio ;unidirezionale su entrambi i lati della strada;Ciclopedonale;Porfido;0,8 km per lato;Comunale;non esiste una specifica cartellonistica
via Messedaglia ;unidirezionale su entrambi i lati della strada;Ciclopedonale;Porfido;0,8 km per lato;Comunale;non esiste una specifica cartellonistica
via Pace;unidirezionale tra via Prina e C.V.E.;Ciclabile;Asfalto;0,4 km;Comunale;non esiste una specifica cartellonistica
via Prina ;unidirezionale ;Ciclabile;Asfalto;0,34 km;Comunale;non esiste una specifica cartellonistica
via Perugia;da via Mantova a via Bixio ;Ciclabile;Asfalto e c.a.;0,26 km;Comunale;non esiste una specifica cartellonistica
via Mantova;lungo via Mantova da via Perugia a via Spallanzani;Ciclopedonale;Asfalto;0,73 km;Comunale;non esiste una specifica cartellonistica
imp sport Pizzoletta;Segua la ferrovia da strada chiesa a cimitero;Ciclopedonale;Asfalto;0,46 km;Comunale;non esiste una specifica cartellonistica
via Ospedale;unidirezionale da via Muraglie a scuola Agraria;Ciclopedonale;Asfalto;0,90 km;Comunale;non esiste una specifica cartellonistica
via sommacampagna via portogallo;via sommacampagna via portogallo;Ciclopedonale;Asfalto;2,3 km;Comunale;non esiste una specifica cartellonistica
via Arduini via valeggio;segue le rispettive vie ;Ciclopedonale;Asfalto;0,7 km;Comunale;non esiste una specifica cartellonistica
via magenta via dei colli;segue le rispettive vie ;Ciclopedonale;Asfalto;0,7 km;Comunale;non esiste una specifica cartellonistica
;;;;;;
;;;;;;
