Nome percorso;Identificativo;Tipo;Fondo;Lunghezza;Tipo percorso (comunale, provinciale, ecc.);Nome
;PC/PED;Ciclopedonale;;168;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;298;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclostrada;;214;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;319;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;330;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;1791;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;22;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;134;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;43;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;228;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;139;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;445;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;202;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;147;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;900;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;137;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;73;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;57;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;1698;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;497;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;2738;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;218;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;183;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;125;Comunale;PERCORSI CICLABILI ESISTENTI
;PC;Ciclabile;;139;Comunale;PERCORSI CICLABILI ESISTENTI
;PC/PED;Ciclopedonale;;127;Comunale;PERCORSI CICLABILI ESISTENTI
