Nome percorso;Identificativo;Tipo;Fondo;Lunghezza;Tipo percorso (comunale, provinciale, ecc.);Nome
Percorso del donatore;Mozzecane-San Zeno;Ciclopedonale;Asfalto;860;Comunale;
;Via Regina Margherita;Ciclopedonale;Asfalto;370;Comunale;
;Via San Faustino;Ciclopedonale;Asfalto;473;Comunale;
;Via Don Giuseppe Bonizzato;Ciclopedonale;Asfalto;631;Comunale;
;Via Martiri delle Foibe;Ciclopedonale;Asfalto;480;Comunale;
;Via Giovanni Paolo II;Ciclopedonale;Asfalto;862;Comunale;
;Via dell'Aviatore;Ciclopedonale;Asfalto;390;Comunale;
;Via Ponte;Ciclopedonale;Asfalto;155;Comunale;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
